Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Miś Uszatek	Miś Uszatek — odcinek	1975	full	300	900	Miś Uszatek bajka PRL odcinek lalkowy
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Miś Uszatek	Miś Uszatek — zestaw odcinków	1980	full	600	7200	Miś Uszatek wszystkie odcinki po kolei
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Miś Uszatek	Piosenka końcowa (Na dobranoc)	1975	fragment	15	300	Miś Uszatek piosenka końcowa na dobranoc
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Przygody Misia Colargola	Miś Colargol — odcinek	1969	full	300	1200	Miś Colargol bajka odcinek PRL
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Opowiadania Muminków	Opowiadania Muminków (lalkowe) — odcinek	1977	full	300	1500	Opowiadania Muminków lalkowe odcinek Se-ma-for
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Trzy misie	Trzy misie — odcinek	1982	full	300	1200	Trzy misie polski serial animowany PRL odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Wędrówki Pyzy	Wędrówki Pyzy — odcinek	1977	full	300	1200	Pyza wędrówki bajka polska odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Proszę słonia	Proszę słonia — odcinek	1978	full	300	1200	Proszę słonia Dominik słoń bajka odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Pomysłowy Dobromir	Pomysłowy Dobromir — odcinek	1973	full	300	1200	Pomysłowy Dobromir wszystkie odcinki
Studio Miniatur Filmowych: dobranocki z Warszawy	Dziwne przygody Koziołka Matołka	Koziołek Matołek — zestaw odcinków	1970	full	600	7200	Koziołek Matołek bajka animowana odcinki po kolei
Bielsko-Biała: Bolek i Lolek, Reksio	Przygody Błękitnego Rycerzyka	Przygody Błękitnego Rycerzyka — odcinek	1980	full	300	1200	Błękitny Rycerzyk dobranocka
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	O wróżce Amałce	Wróżka Amałka — odcinek	1973	full	180	900	víla Amálka pohádka díl
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Przygody kota Leopolda	Kot Leopold — odcinek	1975	full	300	1200	Леопольд мультфильм серия месть кота
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Przygody kota Leopolda	Kot Leopold — zestaw odcinków	1981	full	600	7200	кот Леопольд все серии подряд сборник
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Trójka z Prostokwaszyna	Trójka z Prostokwaszyna	1978	full	600	1800	Трое из Простоквашино 1978 мультфильм смотреть
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Kubuś Puchatek (Winnie Puch)	Winni Puch — odcinek	1969	full	300	1200	Винни Пух Хитрук мультфильм 1969
Węgry: Gustaw i Wodnik Szuwarek	Gustaw	Gustaw — zestaw odcinków	1975	full	600	7200	Gusztáv rajzfilm sorozat epizódok
Węgry: Gustaw i Wodnik Szuwarek	Pom Pom	Pom Pom meséi — odcinek	1980	full	180	900	Pom Pom meséi teljes rész
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Smerfy	Smerfy — czołówka po polsku	1987	fragment	15	300	Smerfy stare intro po polsku TVP
