# section	artist(serial)	film(odcinek/opis)	year	type	min_sec	max_sec	query
# ===== 1. BIELSKO-BIAŁA =====
Bielsko-Biała: Bolek i Lolek, Reksio	Bolek i Lolek	Wyścig po złote runo — Zawody łucznicze	1970	full	300	1500	Bolek i Lolek zawody łucznicze cały odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Bolek i Lolek	Bolek i Lolek wyruszają w świat — W puszczy afrykańskiej	1968	full	300	1500	Bolek i Lolek wyruszają w świat odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Bolek i Lolek	Bolek i Lolek na Dzikim Zachodzie	1972	full	300	1500	Bolek i Lolek na Dzikim Zachodzie odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Bolek i Lolek	Olimpiada Bolka i Lolka	1977	full	300	1500	Olimpiada Bolka i Lolka odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Bolek i Lolek	Wielka podróż Bolka i Lolka (fragmenty filmu kinowego)	1977	fragment	120	5400	Wielka podróż Bolka i Lolka
Bielsko-Biała: Bolek i Lolek, Reksio	Bolek i Lolek	Bajki Bolka i Lolka	1986	full	300	1500	Bajki Bolka i Lolka odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Bolek i Lolek	Czołówka serialu	1963	fragment	15	300	Bolek i Lolek czołówka intro
Bielsko-Biała: Bolek i Lolek, Reksio	Reksio	Reksio śpioch	1972	full	300	1200	Reksio śpioch odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Reksio	Reksio ratownik	1972	full	300	1200	Reksio ratownik odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Reksio	Reksio i UFO	1988	full	300	1200	Reksio i UFO odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Reksio	Reksio — zestaw odcinków	1980	full	600	7200	Reksio bajka wszystkie odcinki po polsku
Bielsko-Biała: Bolek i Lolek, Reksio	Porwanie Baltazara Gąbki	Porwanie Baltazara Gąbki — odcinek	1969	full	300	1200	Porwanie Baltazara Gąbki odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Porwanie Baltazara Gąbki	Wyprawa profesora Gąbki	1978	full	300	1200	Wyprawa profesora Gąbki odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Pampalini łowca zwierząt	Pampalini i lew	1977	full	300	1200	Pampalini łowca zwierząt lew odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Pampalini łowca zwierząt	Pampalini — zestaw odcinków	1977	full	600	7200	Pampalini łowca zwierząt odcinki
Bielsko-Biała: Bolek i Lolek, Reksio	Przygody Błękitnego Rycerzyka	Przygody Błękitnego Rycerzyka — odcinek	1980	full	300	1200	Przygody Błękitnego Rycerzyka odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Marceli Szpak dziwi się światu	Marceli Szpak dziwi się światu — odcinek	1985	full	300	1200	Marceli Szpak dziwi się światu
# ===== 2. SE-MA-FOR =====
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Miś Uszatek	Zabawa w chowanego	1975	full	300	900	Miś Uszatek zabawa w chowanego odcinek
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Miś Uszatek	Pierwszy śnieg	1977	full	300	900	Miś Uszatek pierwszy śnieg odcinek
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Miś Uszatek	Zimowe zabawy — zestaw odcinków	1980	full	600	7200	Miś Uszatek odcinki zima
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Miś Uszatek	Miś Uszatek — zestaw odcinków	1980	full	600	7200	Miś Uszatek bajka cały odcinek po polsku
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Miś Uszatek	Czołówka i piosenka końcowa	1975	fragment	15	300	Miś Uszatek piosenka na dobranoc
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Przygody Misia Colargola	Miś Colargol — odcinek	1968	full	300	1200	Miś Colargol odcinek po polsku
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Przygody Misia Colargola	Colargol na Dzikim Zachodzie	1976	fragment	120	5400	Colargol na Dzikim Zachodzie
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Zaczarowany ołówek	Zaczarowany ołówek — odcinek 1	1964	full	300	900	Zaczarowany ołówek odcinek 1
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Zaczarowany ołówek	Zaczarowany ołówek — zestaw odcinków	1970	full	600	7200	Zaczarowany ołówek wszystkie odcinki
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Opowiadania Muminków	Opowiadania Muminków (lalkowe) — odcinek	1977	full	300	1200	Opowiadania Muminków Se-ma-for odcinek
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Opowiadania Muminków	Muminki lalkowe — zestaw odcinków	1980	full	600	7200	Muminki lalkowe polskie odcinki
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Mały pingwin Pik-Pok	Mały pingwin Pik-Pok — odcinek	1989	full	300	900	Mały pingwin Pik-Pok odcinek
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Trzy misie	Trzy misie — odcinek	1982	full	300	1200	Trzy misie bajka odcinek
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Plastusiowy pamiętnik	Plastusiowy pamiętnik — odcinek	1980	full	300	900	Plastusiowy pamiętnik odcinek
# ===== 3. STUDIO MINIATUR FILMOWYCH =====
Studio Miniatur Filmowych: dobranocki z Warszawy	Dziwne przygody Koziołka Matołka	Koziołek Matołek — odcinek	1969	full	300	1200	Dziwne przygody Koziołka Matołka odcinek
