# section	series	type	min	max	maxn	queries(;)
Bielsko-Biała: Bolek i Lolek, Reksio	Bolek i Lolek	full	300	1500	12	Bolek i Lolek odcinek;Przygody Bolka i Lolka;Bolek i Lolek wyruszają w świat
Bielsko-Biała: Bolek i Lolek, Reksio	Reksio	full	300	1500	12	Reksio odcinek;Reksio seria bajka
Bielsko-Biała: Bolek i Lolek, Reksio	Porwanie Baltazara Gąbki	full	300	1200	10	Porwanie Baltazara Gąbki;Baltazar Gąbka seria
Bielsko-Biała: Bolek i Lolek, Reksio	Pampalini łowca zwierząt	full	300	1200	10	Pampalini łowca zwierząt odcinek
Bielsko-Biała: Bolek i Lolek, Reksio	Miś Kudłatek	full	300	1200	8	Miś Kudłatek;Miś Kudłatek Studio Filmów Rysunkowych
Bielsko-Biała: Bolek i Lolek, Reksio	Marceli Szpak dziwi się światu	full	300	1200	6	Marceli Szpak dziwi się światu
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Zaczarowany ołówek	full	300	1200	12	Zaczarowany ołówek odcinek;Zaczarowany ołówek bajka
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Przygody Misia Colargola	full	300	1500	10	Miś Colargol odcinek;Colargol bajka po polsku
Se-ma-for: Miś Uszatek i dobranocki z Łodzi	Mały pingwin Pik-Pok	full	300	1200	10	Mały pingwin Pik-Pok odcinek;Pik-Pok bajka
Studio Miniatur Filmowych: dobranocki z Warszawy	Przygody kota Filemona	full	300	1200	12	Dziwny świat kota Filemona;Przygody kota Filemona odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Dziwne przygody Koziołka Matołka	full	300	1200	10	Koziołek Matołek odcinek bajka
Studio Miniatur Filmowych: dobranocki z Warszawy	Wędrówki Pyzy	full	300	1500	8	Wędrówki Pyzy;Pyza bajka polska
Studio Miniatur Filmowych: dobranocki z Warszawy	Przygód kilka wróbla Ćwirka	full	300	1200	10	wróbla Ćwirka odcinek;Wróbel Ćwirek bajka
Studio Miniatur Filmowych: dobranocki z Warszawy	Maurycy i Hawranek	full	300	1200	8	Maurycy i Hawranek odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Pomysłowy Dobromir	full	300	1200	10	Pomysłowy Dobromir odcinek;pomysłowy wnuczek bajka
Studio Miniatur Filmowych: dobranocki z Warszawy	Fortele Jonatana Koota	full	300	1200	8	Fortele Jonatana Koota
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Krecik	full	300	1800	12	Krtek episode The Mole;Krecik bajka odcinek
